"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"97306","SALEM, OR",,"G",3018,"G",23650,"G",100638,381,"SALEM","OR","MARION"
"97307","KEIZER, OR","C","S",0,"S",0,"H",1758,17,"KEIZER","OR","MARION"
"97308","SALEM, OR",,"G",237,"G",2105,"G",8147,25,"SALEM","OR","MARION"
"97309","SALEM, OR",,"G",407,"G",4526,"G",18313,32,"SALEM","OR","MARION"
"97310","SALEM, OR",,"G",52,"G",863,"G",2962,11,"SALEM","OR","MARION"
"97312","SALEM, OR","B","D",0,"D",0,"D",0,3,"SALEM","OR","MARION"
"97314","SALEM, OR","A","D",0,"D",0,"D",0,1,"SALEM","OR","MARION"
"97317","SALEM, OR",,"G",2506,"G",18278,"G",83026,262,"SALEM","OR","MARION"
"97321","ALBANY, OR",,"G",13098,"H",140724,"H",529377,843,"ALBANY","OR","LINN"
"97322","ALBANY, OR",,"G",6814,"G",46576,"G",194063,478,"ALBANY","OR","LINN"
"97324","ALSEA, OR",,"G",58,"G",272,"G",1358,19,"ALSEA","OR","BENTON"
"97325","AUMSVILLE, OR",,"G",717,"G",4611,"G",24043,110,"AUMSVILLE","OR","MARION"
"97326","BLODGETT, OR","B","S",0,"H",349,"G",1535,17,"BLODGETT","OR","BENTON"
"97327","BROWNSVILLE, OR",,"G",305,"G",2463,"G",12009,54,"BROWNSVILLE","OR","LINN"
"97329","CASCADIA, OR","A","D",0,"D",0,"D",0,1,"CASCADIA","OR","LINN"
"97330","CORVALLIS, OR",,"G",15563,"H",176270,"H",738607,1046,"CORVALLIS","OR","BENTON"
"97331","CORVALLIS, OR",,"G",426,"G",2447,"G",10893,17,"CORVALLIS","OR","BENTON"
"97333","CORVALLIS, OR",,"G",6206,"G",52505,"G",212936,597,"CORVALLIS","OR","BENTON"
"97335","CRABTREE, OR","B","S",0,"S",0,"H",349,5,"CRABTREE","OR","LINN"
"97336","CRAWFORDSVILLE, OR","A","S",0,"H",28,"H",142,3,"CRAWFORDSVILLE","OR","LINN"
"97338","DALLAS, OR",,"G",3973,"G",28200,"G",114948,395,"DALLAS","OR","POLK"
"97339","CORVALLIS, OR",,"G",502,"G",4049,"G",18891,38,"CORVALLIS","OR","BENTON"
"97341","DEPOE BAY, OR",,"G",495,"H",2718,"H",11444,74,"DEPOE BAY","OR","LINCOLN"
"97342","DETROIT, OR",,"G",104,"G",352,"G",2049,12,"DETROIT","OR","MARION"
"97343","EDDYVILLE, OR","B","D",0,"D",0,"D",0,3,"EDDYVILLE","OR","LINCOLN"
"97344","FALLS CITY, OR",,"G",30,"G",97,"G",497,9,"FALLS CITY","OR","POLK"
"97345","FOSTER, OR","A","D",0,"D",0,"D",0,6,"FOSTER","OR","LINN"
"97346","GATES, OR","B","D",0,"D",0,"D",0,10,"GATES","OR","MARION"
"97347","GRAND RONDE, OR","G","D",0,"D",0,"D",0,16,"GRAND RONDE","OR","POLK"
"97348","HALSEY, OR",,"H",914,"H",12402,"H",51067,42,"HALSEY","OR","LINN"
"97350","IDANHA, OR","A","D",0,"D",0,"D",0,2,"IDANHA","OR","MARION"
"97351","INDEPENDENCE, OR",,"G",1329,"G",9285,"G",42238,185,"INDEPENDENCE","OR","POLK"
"97352","JEFFERSON, OR",,"G",350,"G",2339,"G",10621,74,"JEFFERSON","OR","MARION"
"97355","LEBANON, OR",,"H",6038,"H",46519,"H",195390,464,"LEBANON","OR","LINN"
"97357","LOGSDEN, OR","B","S",0,"H",66,"H",325,4,"LOGSDEN","OR","LINCOLN"
"97358","LYONS, OR",,"G",574,"G",6886,"G",28011,47,"LYONS","OR","LINN"
"97360","MILL CITY, OR",,"G",265,"G",1920,"G",9053,33,"MILL CITY","OR","LINN"
"97361","MONMOUTH, OR",,"H",1356,"H",6517,"H",29588,176,"MONMOUTH","OR","POLK"
"97362","MOUNT ANGEL, OR",,"G",966,"G",8277,"G",35326,93,"MOUNT ANGEL","OR","MARION"
"97364","NEOTSU, OR","A","D",0,"D",0,"D",0,2,"NEOTSU","OR","LINCOLN"
"97365","NEWPORT, OR",,"G",5280,"G",35861,"G",169480,613,"NEWPORT","OR","LINCOLN"
"97366","SOUTH BEACH, OR",,"H",298,"G",1568,"G",6940,46,"SOUTH BEACH","OR","LINCOLN"
"97367","LINCOLN CITY, OR",,"G",4416,"G",29424,"G",123189,418,"LINCOLN CITY","OR","LINCOLN"
"97368","OTIS, OR",,"G",125,"G",699,"G",3587,51,"OTIS","OR","LINCOLN"
"97369","OTTER ROCK, OR",,"G",76,"G",366,"G",1690,10,"OTTER ROCK","OR","LINCOLN"
"97370","PHILOMATH, OR",,"G",1490,"G",13342,"G",56593,222,"PHILOMATH","OR","BENTON"
"97371","RICKREALL, OR",,"G",328,"H",2651,"G",11313,39,"RICKREALL","OR","POLK"
"97373","SAINT BENEDICT, OR",,"G",158,"G",890,"G",3728,5,"SAINT BENEDICT","OR","MARION"
"97374","SCIO, OR",,"G",516,"G",4288,"G",17708,64,"SCIO","OR","LINN"
"97375","SCOTTS MILLS, OR","B","S",0,"G",162,"G",897,12,"SCOTTS MILLS","OR","MARION"
"97376","SEAL ROCK, OR",,"G",25,"G",88,"G",536,16,"SEAL ROCK","OR","LINCOLN"
"97377","SHEDD, OR",,"G",79,"G",581,"G",2513,15,"SHEDD","OR","LINN"
"97378","SHERIDAN, OR",,"G",865,"G",5489,"G",23799,124,"SHERIDAN","OR","YAMHILL"
"97380","SILETZ, OR",,"G",182,"G",779,"G",3303,34,"SILETZ","OR","LINCOLN"
"97381","SILVERTON, OR",,"G",3042,"G",24615,"G",109792,380,"SILVERTON","OR","MARION"
"97383","STAYTON, OR",,"G",2996,"G",26975,"G",115762,263,"STAYTON","OR","MARION"
"97384","MEHAMA, OR","B","D",0,"D",0,"D",0,6,"MEHAMA","OR","MARION"
"97385","SUBLIMITY, OR",,"G",518,"G",3958,"G",15863,64,"SUBLIMITY","OR","MARION"
"97386","SWEET HOME, OR",,"G",1792,"G",12149,"G",52040,224,"SWEET HOME","OR","LINN"
"97388","GLENEDEN BEACH, OR",,"H",360,"H",2298,"H",9827,34,"GLENEDEN BEACH","OR","LINCOLN"
"97389","TANGENT, OR",,"G",1114,"G",12709,"G",49999,87,"TANGENT","OR","LINN"
"97390","TIDEWATER, OR",,"H",39,"H",300,"H",1341,13,"TIDEWATER","OR","LINCOLN"
"97391","TOLEDO, OR",,"H",1116,"H",16263,"H",57806,105,"TOLEDO","OR","LINCOLN"
"97392","TURNER, OR","F","S",0,"H",5945,"H",27643,87,"TURNER","OR","MARION"
"97394","WALDPORT, OR",,"G",447,"G",2168,"G",9953,95,"WALDPORT","OR","LINCOLN"
"97396","WILLAMINA, OR",,"H",573,"H",5492,"H",25445,41,"WILLAMINA","OR","YAMHILL"
"97401","EUGENE, OR",,"G",30789,"G",245849,"G",1022081,2412,"EUGENE","OR","LANE"
